vol_z,vol_5bar_slope,vol_ratio,atr_pts,atr_ratio,atr_5bar_roc,rsi_level,rsi_3bar_slope,rsi_5bar_slope,ema20_3bar_slope,ema20_5bar_slope,body_ratio,close_pos,price_5bar_mom,spread,hour,day_of_week,target
2.127,0.058,1.16,292.4,1.443,0.497,24.04,-14.295,-1.063,-3.21,-4.24,0.904,0.094,-1.3,15,16,1,1
2.166,0.0342,1.148,321.9,1.228,0.226,49.79,-2.738,14.662,-2.23,-4.23,0.32,0.724,1.286,15,16,2,1
1.612,0.0024,1.014,257.2,1.188,0.234,49.7,6.096,-3.606,-0.62,-1.28,0.513,0.685,-0.607,15,16,3,1
0.722,0.0051,1.216,153.3,1.031,-0.0221,52.67,-3.989,-2.531,-0.56,-0.68,0.071,0.929,-0.189,15,10,4,1
1.2,-0.003,0.975,357.4,1.201,0.0777,43.89,-6.38,1.344,-0.71,-1.06,0.591,0.125,0.067,15,16,4,0
0.044,-0.0401,0.901,183.8,1.123,0.0425,52.14,-2.304,8.835,-0.43,-1.03,0.177,0.425,0.909,15,11,2,0
2.126,0.082,1.185,300.8,1.112,0.1798,33.33,-6.299,10.888,-3.91,-6.05,0.128,0.544,0.379,15,15,3,1
0.373,0.1838,1.602,194.4,1.055,-0.0402,45.22,0.511,6.615,-1.2,-1.29,0.214,0.923,0.664,15,8,4,1
0.697,-0.0319,0.904,174.5,1.032,0.12,53.83,-1.221,-14.959,1.32,2.58,0.669,0.871,-1.776,15,9,0,1
2.07,0.0992,1.214,154.9,1.085,0.0686,53.28,3.157,2.132,0.08,-0.15,0.489,0.528,0.187,15,10,1,1
1.459,0.048,1.042,231.2,1.262,0.2101,51.47,-4.837,6.186,-0.38,-0.3,0.422,0.908,0.709,15,16,2,0
1.685,0.0773,1.09,265.0,1.296,0.1412,47.17,-14.728,-0.977,-0.19,-0.57,0.222,0.553,-0.064,15,17,2,1
0.657,0.1437,1.55,148.6,0.899,-0.0538,41.63,-0.333,5.226,-2.2,-4.1,0.099,0.348,0.41,15,8,3,1
0.559,-0.0841,0.849,214.2,1.261,0.2964,36.7,-7.471,2.008,-2.83,-4.13,0.576,0.352,-0.443,15,11,3,1
1.047,-0.0401,0.956,507.5,1.647,0.3511,67.31,5.051,-12.827,3.98,1.98,0.194,0.073,-0.378,15,17,3,1
0.573,-0.0724,0.79,200.1,1.274,0.24,59.98,12.486,-0.544,1.75,2.59,0.866,0.969,0.655,15,11,4,1
