open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2024-09-30 15:30:00+00:00,1029,SHORT,2635.3999999999996,2641.1,-125.4,SL,B,15,Monday,NY,367.5,1.21,30.3,0.36,0.55,15.0,False,False,UP,2655.18,42.7,1351.3,True,1814.0,3,0,1.2,LOSS
2024-10-03 14:15:00+00:00,1033,SHORT,2644.47,2648.88,-127.89,SL,B,14,Thursday,NY,280.8,1.32,37.6,-1.06,0.72,15.0,False,False,UP,2651.71,42.6,1243.1,True,649.1,4,0,0.75,LOSS
2024-10-18 08:30:00+00:00,1043,LONG,2712.77,2708.91,-142.82,SL,B,8,Friday,London,245.1,0.89,74.7,0.39,0.75,15.0,False,False,UP,2679.4,73.9,1173.5,False,1814.3,1,0,2.29,LOSS
2024-10-21 15:30:00+00:00,1046,LONG,2738.4,2733.8199999999997,-187.78,SL,A+,15,Monday,NY,292.7,1.1,62.4,3.3,0.07,15.0,False,True,UP,2703.0,82.2,1118.6,False,2556.8,0,7,3.18,LOSS
2024-10-22 09:15:00+00:00,1047,LONG,2735.5800000000004,2731.64,-185.18,SL,A+,9,Tuesday,London,250.8,0.97,64.7,1.91,0.65,15.0,False,False,UP,2712.95,65.3,1151.4,False,2640.2,0,3,1.91,LOSS
2024-10-24 13:30:00+00:00,1049,LONG,2738.6400000000003,2735.01,-137.94,SL,B,13,Thursday,NY,228.8,0.96,69.5,-1.34,0.7,15.0,False,False,UP,2729.09,59.6,1142.2,False,2369.6,0,4,0.87,LOSS
2024-10-25 14:45:00+00:00,1051,SHORT,2724.14,2728.8,-181.74,SL,A+,14,Friday,NY,298.3,1.38,49.5,1.74,0.86,15.0,False,False,UP,2729.26,52.7,1164.4,True,1528.7,0,1,0.19,LOSS
2024-10-28 14:15:00+00:00,1052,SHORT,2731.7799999999997,2736.91,-133.38,SL,B,14,Monday,NY,328.8,1.03,45.6,-1.91,0.23,15.0,False,False,UP,2732.12,53.1,1173.9,True,1444.4,0,1,0.19,LOSS
2024-10-30 14:30:00+00:00,1055,LONG,2781.4300000000003,2777.41,-136.68,SL,B,14,Wednesday,NY,256.9,1.09,48.7,-0.45,0.08,15.0,False,False,UP,2757.24,72.8,1105.5,False,1958.2,0,6,2.28,LOSS
2024-10-31 09:45:00+00:00,1056,SHORT,2779.8199999999997,2783.68,-181.42,SL,A+,9,Thursday,London,247.3,0.96,35.7,1.31,0.84,15.0,False,False,UP,2767.96,66.0,1029.1,True,2125.3,2,0,1.08,LOSS
2024-11-04 15:45:00+00:00,1057,LONG,2746.75,2741.7599999999998,-174.65,SL,A+,15,Monday,NY,319.8,1.13,62.6,0.94,0.85,15.0,False,False,UP,2751.75,45.3,1208.8,False,247.4,0,4,0.42,LOSS
2024-11-07 08:00:00+00:00,1063,SHORT,2654.49,2660.3,-180.11,SL,A+,8,Thursday,London,378.3,0.77,44.0,0.59,0.7,15.0,False,False,DOWN,2705.08,24.7,1744.1,False,2290.5,0,2,2.49,LOSS
2024-11-12 09:30:00+00:00,1067,SHORT,2596.87,2603.7000000000003,-191.24,SL,A+,9,Tuesday,London,445.1,1.34,20.1,0.89,0.8,15.0,False,False,DOWN,2655.75,24.7,1735.0,False,3651.7,2,0,3.6,LOSS
2024-11-22 14:30:00+00:00,1080,LONG,2703.36,2696.7,-146.52,SL,B,14,Friday,NY,431.1,1.35,58.3,-0.53,0.8,15.0,False,False,UP,2657.82,70.8,1412.0,False,1875.5,1,0,2.48,LOSS
2024-11-27 15:45:00+00:00,1085,LONG,2656.3,2650.5099999999998,-196.86,SL,A+,15,Wednesday,NY,373.5,1.29,66.2,2.01,0.67,15.0,False,True,UP,2646.57,53.7,1752.9,False,923.0,0,3,0.55,LOSS
2024-11-29 08:00:00+00:00,1087,LONG,2665.9700000000003,2660.92,-146.45,SL,B,8,Friday,London,324.3,1.22,76.7,0.39,0.84,15.0,False,False,UP,2646.38,58.9,1452.2,False,745.0,0,3,1.22,LOSS
2024-12-02 08:15:00+00:00,1088,SHORT,2624.6299999999997,2630.98,-146.05,SL,B,8,Monday,London,412.4,0.97,36.2,0.24,0.31,15.0,False,False,UP,2644.29,45.4,1509.6,True,126.0,0,1,0.71,LOSS
2024-12-03 13:15:00+00:00,1090,LONG,2645.05,2640.83,-147.7,SL,B,13,Tuesday,NY,268.9,0.95,54.2,-1.4,0.67,15.0,False,False,DOWN,2643.81,54.8,1400.9,True,104.4,0,3,0.65,LOSS
2024-12-10 08:45:00+00:00,1094,LONG,2670.07,2665.58,-148.17,SL,B,8,Tuesday,London,287.3,1.04,55.6,-0.97,0.72,15.0,False,False,UP,2652.1,58.2,1318.0,False,628.8,1,0,0.98,LOSS
2024-12-13 08:15:00+00:00,1099,SHORT,2685.1499999999996,2689.39,-148.4,SL,B,8,Friday,London,270.2,0.85,44.9,-0.15,0.69,15.0,False,False,UP,2687.24,43.4,1472.2,True,1376.7,2,0,1.24,LOSS
2024-12-16 15:15:00+00:00,1100,LONG,2662.1400000000003,2657.61,-194.79,SL,A+,15,Monday,NY,289.2,1.14,59.8,1.29,0.2,15.0,False,False,UP,2671.67,44.0,1272.3,False,382.1,0,2,0.77,LOSS
2024-12-23 10:45:00+00:00,1106,LONG,2630.02,2625.8299999999995,-196.93,SL,A+,10,Monday,London,267.8,0.96,57.0,0.83,0.42,15.0,False,False,DOWN,2621.5,50.0,1359.0,True,1714.2,1,0,0.35,LOSS
